Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
347,2.891667,2.659834,0.785580,0.770054
348,2.900000,2.659822,0.785558,0.770052
349,2.908333,2.659833,0.785567,0.770043
350,2.916667,2.659827,0.785565,0.770038
351,2.925000,2.659825,0.785555,0.770036
352,2.933333,2.659812,0.785575,0.770056
353,2.941667,2.659808,0.785567,0.770048
354,2.950000,2.659822,0.785556,0.770046
355,2.958333,2.659810,0.785557,0.770041
356,2.966667,2.659809,0.785553,0.770033
357,2.975000,2.659806,0.785545,0.770042
358,2.983333,2.659827,0.785570,0.770058
359,2.991667,2.659842,0.785572,0.770041
360,3.000000,2.659828,0.785570,0.770044
361,3.008333,2.659823,0.785552,0.770045
362,3.016667,2.659837,0.785570,0.770044
363,3.025000,2.659841,0.785574,0.770047
364,3.033333,2.659825,0.785559,0.770043
365,3.041667,2.659835,0.785563,0.770039
366,3.050000,2.659833,0.785564,0.770059
367,3.058333,2.659829,0.785557,0.770049
368,3.066667,2.659819,0.785571,0.770043
369,3.075000,2.659822,0.785559,0.770042
370,3.083333,2.659829,0.785566,0.770054
371,3.091667,2.659824,0.785560,0.770055
372,3.100000,2.659824,0.785559,0.770054
373,3.108333,2.659819,0.785565,0.770045
374,3.116667,2.659812,0.785564,0.770053
375,3.125000,2.659824,0.785565,0.770044
376,3.133333,2.659813,0.785564,0.770053
377,3.141667,2.659819,0.785546,0.770049
378,3.150000,2.659795,0.785553,0.770039
379,3.158333,2.659827,0.785570,0.770057
380,3.166667,2.659830,0.785572,0.770044
381,3.175000,2.659824,0.785576,0.770057
382,3.183333,2.659827,0.785564,0.770050
383,3.191667,2.659824,0.785574,0.770054
384,3.200000,2.659833,0.785566,0.770052
385,3.208333,2.659821,0.785550,0.770050
386,3.216667,2.659835,0.785553,0.770054
387,3.225000,2.659831,0.785572,0.770051
388,3.233333,2.659845,0.785559,0.770049
389,3.241667,2.659832,0.785554,0.770063
390,3.250000,2.659832,0.785567,0.770055
391,3.258333,2.659829,0.785548,0.770043
392,3.266667,2.659822,0.785568,0.770066
393,3.275000,2.659833,0.785586,0.770054
394,3.283333,2.659826,0.785573,0.770047
395,3.291667,2.659826,0.785568,0.770060
396,3.300000,2.659819,0.785570,0.770047
397,3.308333,2.659823,0.785572,0.770042
398,3.316667,2.659822,0.785562,0.770055
399,3.325000,2.659826,0.785559,0.770049
400,3.333333,2.659828,0.785561,0.770064
401,3.341667,2.659828,0.785567,0.770053
402,3.350000,2.659820,0.785564,0.770046
403,3.358333,2.659822,0.785565,0.770052
404,3.366667,2.659822,0.785563,0.770044
405,3.375000,2.659826,0.785561,0.770055
406,3.383333,2.659838,0.785558,0.770044
407,3.391667,2.659839,0.785574,0.770054
408,3.400000,2.660210,0.785545,0.770329
409,3.408333,2.661022,0.785500,0.770859
410,3.416667,2.662048,0.785573,0.771401
411,3.425000,2.663282,0.785547,0.772003
412,3.433333,2.664518,0.785566,0.772740
413,3.441667,2.665741,0.785622,0.773441
414,3.450000,2.666226,0.785618,0.773673
415,3.458333,2.666360,0.785613,0.773739
416,3.466667,2.666438,0.785616,0.773783
417,3.475000,2.666546,0.785621,0.773813
418,3.483333,2.666627,0.785592,0.773848
419,3.491667,2.666702,0.785583,0.773879
420,3.500000,2.666747,0.785577,0.773928
421,3.508333,2.666860,0.785575,0.774034
